task	config	all_job_ids	last_job_id	last_job_status	last_job_failure_reason	last_job_elapsed	last_job_exit_code	last_job_start	last_job_end	last_job_file	last_submitted_at	status_checked_at
finding	finding/configs/edge_moderngena_large_unet.json	102423,102712	102712	RUNNING		00:27:16	0:0	Unknown	2026-07-17T20:58:12+03:00	finding/jobs/job_edge_moderngena_large_unet_shared.sh	2026-07-17T20:21:37+03:00	2026-07-17T20:58:12+03:00
finding	finding/configs/region_caduceus_ph.json	102424	102424	FAILED	torchrun child process failed	00:00:40	1:0	2026-07-17T13:13:26	2026-07-17T13:14:06	finding/jobs/job_region_caduceus_ph_shared.sh	2026-07-17T11:24:22+03:00	2026-07-17T20:58:12+03:00
finding	finding/configs/region_caduceus_ps.json	102425	102425	FAILED	torchrun child process failed	00:00:31	1:0	2026-07-17T16:29:46	2026-07-17T16:30:17	finding/jobs/job_region_caduceus_ps_shared.sh	2026-07-17T11:24:22+03:00	2026-07-17T20:58:12+03:00
finding	finding/configs/region_gena_base_amt_plain.json	102426,102713	102713	FAILED	sequence length 528 exceeds 512 positional limit	00:01:25	1:0	2026-07-17T20:25:23	2026-07-17T20:58:12+03:00	finding/jobs/job_region_gena_base_amt_plain_shared.sh	2026-07-17T20:21:37+03:00	2026-07-17T20:58:12+03:00
finding	finding/configs/region_gena_base_amt_unet.json	102427,102714	102714	FAILED	sequence length 528 exceeds 512 positional limit	00:01:25	1:0	2026-07-17T20:25:23	2026-07-17T20:58:12+03:00	finding/jobs/job_region_gena_base_amt_unet_shared.sh	2026-07-17T20:21:37+03:00	2026-07-17T20:58:12+03:00
finding	finding/configs/region_gena_base_plain.json	102428,102715	102715	RUNNING		00:27:16	0:0	Unknown	2026-07-17T20:58:12+03:00	finding/jobs/job_region_gena_base_plain_shared.sh	2026-07-17T20:21:37+03:00	2026-07-17T20:58:12+03:00
finding	finding/configs/region_gena_base_rmt_unet.json	102429,102716	102716	RUNNING		00:09:23	0:0	Unknown	2026-07-17T20:58:12+03:00	finding/jobs/job_region_gena_base_rmt_unet_shared.sh	2026-07-17T20:21:37+03:00	2026-07-17T20:58:12+03:00
finding	finding/configs/region_gena_base_unet.json	102430,102717	102717	FAILED	torchrun child process failed	00:01:03	1:0	2026-07-17T20:25:33	2026-07-17T20:58:12+03:00	finding/jobs/job_region_gena_base_unet_shared.sh	2026-07-17T20:21:37+03:00	2026-07-17T20:58:12+03:00
finding	finding/configs/region_gena_large_amt_plain.json	102431,102718	102718	FAILED	torchrun child process failed	00:00:57	1:0	2026-07-17T20:25:27	2026-07-17T20:58:12+03:00	finding/jobs/job_region_gena_large_amt_plain_shared.sh	2026-07-17T20:21:37+03:00	2026-07-17T20:58:12+03:00
finding	finding/configs/region_gena_large_amt_unet.json	102432,102719	102719	FAILED	sequence length 528 exceeds 512 positional limit	00:01:35	1:0	2026-07-17T20:26:05	2026-07-17T20:58:12+03:00	finding/jobs/job_region_gena_large_amt_unet_shared.sh	2026-07-17T20:21:37+03:00	2026-07-17T20:58:12+03:00
finding	finding/configs/region_gena_large_plain.json	102433	102433	FAILED	torchrun child process failed	00:01:01	1:0	2026-07-17T13:47:44	2026-07-17T13:48:45	finding/jobs/job_region_gena_large_plain_shared.sh	2026-07-17T11:24:22+03:00	2026-07-17T20:58:12+03:00
finding	finding/configs/region_gena_large_rmt_unet.json	102434	102434	FAILED	torchrun child process failed	00:00:44	1:0	2026-07-17T13:51:16	2026-07-17T13:52:00	finding/jobs/job_region_gena_large_rmt_unet_shared.sh	2026-07-17T11:24:22+03:00	2026-07-17T20:58:12+03:00
finding	finding/configs/region_gena_large_unet.json	102435	102435	FAILED	torchrun child process failed	00:01:00	1:0	2026-07-17T13:01:57	2026-07-17T13:02:57	finding/jobs/job_region_gena_large_unet_shared.sh	2026-07-17T11:24:22+03:00	2026-07-17T20:58:12+03:00
finding	finding/configs/region_moderngena_base_amt_plain.json	102436,102720	102720	RUNNING		00:14:32	0:0	Unknown	2026-07-17T20:58:12+03:00	finding/jobs/job_region_moderngena_base_amt_plain_shared.sh	2026-07-17T20:21:37+03:00	2026-07-17T20:58:12+03:00
finding	finding/configs/region_moderngena_base_amt_unet.json	102437,102721	102721	RUNNING		00:14:32	0:0	Unknown	2026-07-17T20:58:12+03:00	finding/jobs/job_region_moderngena_base_amt_unet_shared.sh	2026-07-17T20:21:37+03:00	2026-07-17T20:58:12+03:00
finding	finding/configs/region_moderngena_base_plain.json	102438	102438	FAILED	torchrun child process failed	00:00:39	1:0	2026-07-17T13:06:15	2026-07-17T13:06:54	finding/jobs/job_region_moderngena_base_plain_shared.sh	2026-07-17T11:24:22+03:00	2026-07-17T20:58:12+03:00
finding	finding/configs/region_moderngena_base_rmt_unet.json	102439	102439	FAILED	torchrun child process failed	00:00:40	1:0	2026-07-17T13:07:40	2026-07-17T13:08:20	finding/jobs/job_region_moderngena_base_rmt_unet_shared.sh	2026-07-17T11:24:22+03:00	2026-07-17T20:58:12+03:00
finding	finding/configs/region_moderngena_base_unet.json	102440	102440	FAILED	torchrun child process failed	00:00:40	1:0	2026-07-17T13:09:06	2026-07-17T13:09:46	finding/jobs/job_region_moderngena_base_unet_shared.sh	2026-07-17T11:24:22+03:00	2026-07-17T20:58:12+03:00
finding	finding/configs/region_moderngena_large_amt_plain.json	102441,102722	102722	FAILED	torchrun child process failed	00:00:45	1:0	2026-07-17T20:50:42	2026-07-17T20:58:12+03:00	finding/jobs/job_region_moderngena_large_amt_plain_shared.sh	2026-07-17T20:21:37+03:00	2026-07-17T20:58:12+03:00
finding	finding/configs/region_moderngena_large_amt_unet.json	102442,102723	102723	RUNNING		00:11:50	0:0	Unknown	2026-07-17T20:58:12+03:00	finding/jobs/job_region_moderngena_large_amt_unet_shared.sh	2026-07-17T20:21:37+03:00	2026-07-17T20:58:12+03:00
finding	finding/configs/region_moderngena_large_plain.json	102443,102724	102724	FAILED	torchrun child process failed	00:00:46	1:0	2026-07-17T20:47:08	2026-07-17T20:58:12+03:00	finding/jobs/job_region_moderngena_large_plain_shared.sh	2026-07-17T20:21:37+03:00	2026-07-17T20:58:12+03:00
finding	finding/configs/region_moderngena_large_rmt_unet.json	102444,102725	102725	RUNNING		00:12:21	0:0	Unknown	2026-07-17T20:58:12+03:00	finding/jobs/job_region_moderngena_large_rmt_unet_shared.sh	2026-07-17T20:21:37+03:00	2026-07-17T20:58:12+03:00
finding	finding/configs/region_moderngena_large_unet.json	102445,102726	102726	RUNNING		00:32:08	0:0	Unknown	2026-07-17T20:58:12+03:00	finding/jobs/job_region_moderngena_large_unet_shared.sh	2026-07-17T20:21:37+03:00	2026-07-17T20:58:12+03:00
segmentation	segmentation/configs/moderngena_base_rmt_unet.json	102275,102372	102372	FAILED	torchrun child process failed	07:49:40	1:0	2026-07-17T10:01:44	2026-07-17T17:51:24	segmentation/jobs/job_moderngena_base_rmt_unet_shared.sh	2026-07-17T10:00:26+03:00	2026-07-17T20:58:12+03:00
segmentation	segmentation/configs/caduceus_ph_middle_loss.json	102284,102363	102363	FAILED	torchrun child process failed	08:01:20	1:0	2026-07-17T10:00:31	2026-07-17T18:01:51	segmentation/jobs/job_caduceus_ph_middle_loss_shared.sh	2026-07-17T10:00:26+03:00	2026-07-17T20:58:12+03:00
segmentation	segmentation/configs/caduceus_ps_middle_loss.json	102285,102364	102364	FAILED	torchrun child process failed	00:18:46	1:0	2026-07-17T10:00:31	2026-07-17T10:19:17	segmentation/jobs/job_caduceus_ps_middle_loss_shared.sh	2026-07-17T10:00:26+03:00	2026-07-17T20:58:12+03:00
segmentation	segmentation/configs/gena_base_amt_unet.json	102286,102365,102727	102727	RUNNING		00:13:46	0:0	Unknown	2026-07-17T20:58:12+03:00	segmentation/jobs/job_gena_base_amt_unet_shared.sh	2026-07-17T20:21:37+03:00	2026-07-17T20:58:12+03:00
segmentation	segmentation/configs/gena_base_rmt_unet.json	102287,102366,102728	102728	RUNNING		00:13:03	0:0	Unknown	2026-07-17T20:58:12+03:00	segmentation/jobs/job_gena_base_rmt_unet_shared.sh	2026-07-17T20:21:37+03:00	2026-07-17T20:58:12+03:00
segmentation	segmentation/configs/gena_base_unet.json	102288,102367,102729	102729	FAILED	torchrun child process failed	00:14:09	1:0	2026-07-17T20:50:00	2026-07-17T20:58:12+03:00	segmentation/jobs/job_gena_base_unet_shared.sh	2026-07-17T20:21:37+03:00	2026-07-17T20:58:12+03:00
segmentation	segmentation/configs/gena_large_amt_unet.json	102289,102368,102730	102730	FAILED	torchrun child process failed	00:14:15	1:0	2026-07-17T20:40:19	2026-07-17T20:58:12+03:00	segmentation/jobs/job_gena_large_amt_unet_shared.sh	2026-07-17T20:21:37+03:00	2026-07-17T20:58:12+03:00
segmentation	segmentation/configs/gena_large_rmt_unet.json	102290,102369	102369	RUNNING		10:57:41	0:0	2026-07-17T10:00:31	Unknown	segmentation/jobs/job_gena_large_rmt_unet_shared.sh	2026-07-17T10:00:26+03:00	2026-07-17T20:58:12+03:00
segmentation	segmentation/configs/gena_large_unet.json	102292,102370	102370	FAILED	torchrun child process failed	07:47:20	1:0	2026-07-17T10:00:31	2026-07-17T17:47:51	segmentation/jobs/job_gena_large_unet_shared.sh	2026-07-17T10:00:26+03:00	2026-07-17T20:58:12+03:00
segmentation	segmentation/configs/moderngena_base_amt_unet.json	102293,102371,102731	102731	RUNNING		00:12:21	0:0	Unknown	2026-07-17T20:58:12+03:00	segmentation/jobs/job_moderngena_base_amt_unet_shared.sh	2026-07-17T20:21:37+03:00	2026-07-17T20:58:12+03:00
segmentation	segmentation/configs/moderngena_base_unet.json	102295,102373	102373	FAILED	torchrun child process failed	07:49:04	1:0	2026-07-17T10:01:44	2026-07-17T17:50:48	segmentation/jobs/job_moderngena_base_unet_shared.sh	2026-07-17T10:00:26+03:00	2026-07-17T20:58:12+03:00
segmentation	segmentation/configs/moderngena_large_amt_unet.json	102296,102374,102732	102732	RUNNING		00:11:50	0:0	Unknown	2026-07-17T20:58:12+03:00	segmentation/jobs/job_moderngena_large_amt_unet_shared.sh	2026-07-17T20:21:37+03:00	2026-07-17T20:58:12+03:00
segmentation	segmentation/configs/moderngena_large_rmt_unet.json	102297,102375,102733	102733	RUNNING		00:11:50	0:0	Unknown	2026-07-17T20:58:12+03:00	segmentation/jobs/job_moderngena_large_rmt_unet_shared.sh	2026-07-17T20:21:37+03:00	2026-07-17T20:58:12+03:00
segmentation	segmentation/configs/moderngena_large_unet.json	102298,102376,102734	102734	RUNNING		00:32:08	0:0	Unknown	2026-07-17T20:58:12+03:00	segmentation/jobs/job_moderngena_large_unet_shared.sh	2026-07-17T20:21:37+03:00	2026-07-17T20:58:12+03:00
